Learning Rate: 0.1, alpha: None
Epoch 18, Training Loss: 1.1916, Training Accuracy: 80.913%
Epoch 19, Training Loss: 1.2398, Training Accuracy: 81.177%
Epoch 20, Training Loss: 1.2859, Training Accuracy: 81.151%
Epoch 21, Training Loss: 1.3103, Training Accuracy: 82.471%
Epoch 22, Training Loss: 1.1992, Training Accuracy: 82.629%
Epoch 23, Training Loss: 1.2639, Training Accuracy: 81.996%
Epoch 24, Training Loss: 1.1828, Training Accuracy: 82.524%
Epoch 25, Training Loss: 1.2464, Training Accuracy: 81.600%
Epoch 26, Training Loss: 1.2623, Training Accuracy: 83.421%
Epoch 27, Training Loss: 1.1958, Training Accuracy: 82.471%
Epoch 28, Training Loss: 1.1661, Training Accuracy: 82.814%
Epoch 29, Training Loss: 1.1321, Training Accuracy: 82.867%
Epoch 30, Training Loss: 1.1515, Training Accuracy: 83.263%
The best model for 0.001, 0.5 has been saved!
Learning Rate: 0.001, alpha: 0.01
Epoch 1, Training Loss: 1.5222, Training Accuracy: 76.346%
Epoch 2, Training Loss: 1.4531, Training Accuracy: 75.739%
Epoch 3, Training Loss: 1.5749, Training Accuracy: 73.363%
Epoch 4, Training Loss: 1.3265, Training Accuracy: 75.396%
Epoch 5, Training Loss: 1.3793, Training Accuracy: 76.505%
Epoch 6, Training Loss: 1.3395, Training Accuracy: 77.006%
Epoch 7, Training Loss: 1.4229, Training Accuracy: 77.561%
Epoch 8, Training Loss: 1.3275, Training Accuracy: 78.405%
Epoch 9, Training Loss: 1.2861, Training Accuracy: 77.983%
Epoch 10, Training Loss: 1.3067, Training Accuracy: 78.881%
Epoch 11, Training Loss: 1.3867, Training Accuracy: 79.488%
Epoch 12, Training Loss: 1.2350, Training Accuracy: 78.141%
Epoch 13, Training Loss: 1.2304, Training Accuracy: 80.887%
Epoch 14, Training Loss: 1.2639, Training Accuracy: 80.333%
Epoch 15, Training Loss: 1.2290, Training Accuracy: 81.732%
Epoch 16, Training Loss: 1.2110, Training Accuracy: 81.204%
Epoch 17, Training Loss: 1.3001, Training Accuracy: 80.993%
Epoch 18, Training Loss: 1.3588, Training Accuracy: 81.679%
Epoch 19, Training Loss: 1.2265, Training Accuracy: 81.362%
Epoch 20, Training Loss: 1.2009, Training Accuracy: 82.207%
Epoch 21, Training Loss: 1.1494, Training Accuracy: 82.445%
Epoch 22, Training Loss: 1.2324, Training Accuracy: 80.333%
Epoch 23, Training Loss: 1.1951, Training Accuracy: 82.497%
Epoch 24, Training Loss: 1.0976, Training Accuracy: 82.946%
Epoch 25, Training Loss: 1.1451, Training Accuracy: 82.022%
Epoch 26, Training Loss: 1.2358, Training Accuracy: 83.580%
Epoch 27, Training Loss: 1.1560, Training Accuracy: 84.820%
Epoch 28, Training Loss: 1.1329, Training Accuracy: 83.448%
Epoch 29, Training Loss: 1.0891, Training Accuracy: 83.157%
Epoch 30, Training Loss: 1.0789, Training Accuracy: 83.870%
The best model for 0.001, 0.01 has been saved!
Learning Rate: 0.001, alpha: 0.05
Epoch 1, Training Loss: 1.6762, Training Accuracy: 74.182%
Epoch 2, Training Loss: 1.6007, Training Accuracy: 76.452%
Epoch 3, Training Loss: 1.4844, Training Accuracy: 75.475%
Epoch 4, Training Loss: 1.5033, Training Accuracy: 74.578%
Epoch 5, Training Loss: 1.5504, Training Accuracy: 75.713%
Epoch 6, Training Loss: 1.4759, Training Accuracy: 74.736%
Epoch 7, Training Loss: 1.3689, Training Accuracy: 77.138%
Epoch 8, Training Loss: 1.3263, Training Accuracy: 79.541%
Epoch 9, Training Loss: 1.4099, Training Accuracy: 77.482%
Epoch 10, Training Loss: 1.3819, Training Accuracy: 78.062%
Epoch 11, Training Loss: 1.2565, Training Accuracy: 79.699%
Epoch 12, Training Loss: 1.3091, Training Accuracy: 79.277%
Epoch 13, Training Loss: 1.3144, Training Accuracy: 78.643%
Epoch 14, Training Loss: 1.4263, Training Accuracy: 79.989%
Epoch 15, Training Loss: 1.2699, Training Accuracy: 80.253%
Epoch 16, Training Loss: 1.2231, Training Accuracy: 79.488%
Epoch 17, Training Loss: 1.2572, Training Accuracy: 81.257%
Epoch 18, Training Loss: 1.2614, Training Accuracy: 80.491%
Epoch 19, Training Loss: 1.3083, Training Accuracy: 80.306%
Epoch 20, Training Loss: 1.2129, Training Accuracy: 81.626%
Epoch 21, Training Loss: 1.3099, Training Accuracy: 81.917%
Epoch 22, Training Loss: 1.1598, Training Accuracy: 82.339%
Epoch 23, Training Loss: 1.2326, Training Accuracy: 82.339%
Epoch 24, Training Loss: 1.1361, Training Accuracy: 83.606%
Epoch 25, Training Loss: 1.1418, Training Accuracy: 83.237%
Epoch 26, Training Loss: 1.0248, Training Accuracy: 82.814%
Epoch 27, Training Loss: 1.2610, Training Accuracy: 83.263%
Epoch 28, Training Loss: 1.1395, Training Accuracy: 84.345%
Epoch 29, Training Loss: 1.0886, Training Accuracy: 82.946%
Epoch 30, Training Loss: 1.1163, Training Accuracy: 84.952%
The best model for 0.001, 0.05 has been saved
